Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Model
0.7388,0.5052,0.7834,0.6143,0.8417,0.6331,Logistic Regression
0.7757,0.5687,0.6417,0.603,0.827,0.6177,Random Forest
